task_id,shard_run,status,note,score,perfect,score_gemini31pro_judge,rubric_met,rubric_violated,rubric_not_assessable,duration_s,llm_calls,input_tokens,cached_input_tokens,output_tokens,cost_usd_offpeak,cost_usd_peak
bu2-043,36043644031,completed,,68.0,False,68.0,6,3,0,906,78,219412,5094016,54468,0.0809,0.1617
bu2-044,36043648261,completed,,88.0,False,88.0,8,1,0,974,47,103894,2291584,42602,0.048,0.096
bu2-045,36043652932,completed,,67.0,False,100.0,7,3,0,1363,93,216487,6938624,83730,0.1035,0.2071
bu2-046,36043717777,completed,,100.0,True,100.0,10,0,0,814,81,196247,4956800,58187,0.0792,0.1584
bu2-047,36043640330,completed,,74.0,False,88.0,7,2,0,782,76,255360,5958656,64949,0.0951,0.1903
bu2-048,36043644031,completed,,88.0,False,100.0,9,1,0,1331,61,174376,4224640,74064,0.0833,0.1665
bu2-049,36043648261,completed,,86.0,False,100.0,9,1,0,790,58,166704,3820800,71285,0.0792,0.1585
bu2-050,36043652932,completed,,48.0,False,70.0,6,5,0,692,54,172262,3448448,60054,0.0722,0.1444
bu2-051,36043717777,timeout,30-minute limit; graded on partial evidence,32.0,False,32.0,4,8,0,1800,66,156956,4194560,67319,0.0765,0.153
bu2-052,36043640330,completed,,100.0,True,82.0,10,0,0,171,26,95358,1245056,28681,0.0352,0.0705
bu2-053,36043644031,completed,,100.0,True,100.0,10,0,0,974,72,216169,6968576,64458,0.092,0.184
bu2-054,36043648261,completed,,100.0,True,100.0,10,0,0,507,64,194014,5435136,65941,0.085,0.1699
bu2-055,36043652932,completed,,60.0,False,74.0,6,4,0,1228,53,218430,4712704,88934,0.1003,0.2005
